Genre,S_Lyric,Genre_Index
Country,I WANT THAT FEELIN' AGAIN (Bill Anderson) '80 Stallion Music I want that feelin' again I want that feelin' again I had it once and it got away and I want that feelin' again I want that feelin' again I want that feelin' again I had it once and it got away and I want that feelin' again I felt it early in the morning I trembled through and through It was wicked and wild warm and wonderful wakin' up next to you And I felt it again in the evening soon as the sun went down That sweet soft sexy feelin' I can wrap my arms around And I want that feelin' again... Take me back to the magic in which my soul believed Where every smile,0
Hip-Hop,"in a few months That's real life cancer and doctors ain't got the answer I hope y'all felling this 'cause I ain't supposed to be telling y'all this shit Like I ain't supposed to be selling y'all this shit but this is real life Like I ain't supposed to be crying over this shit but I still mind Shit just don't feel right but I'm gonna hold on Till the hole in my 44 long I'm gonna hit the gym and get my swoll on Sometimes my head gone And I don't give my pops props 'cause he was dead wrong Pops was up, you know what, I don't give a fuck The only thing I'm happy that you did was bust me out your nuts [Chorus]",1
R&B,"say memories again and again I see the reel now it's real to me I gave up gold for grains of sand Slippin' through my hand, hand, hand, hand Slippin' through my hand, hand, hand, hand Slippin' through my hand, ooh Slippin' through my hand, hand (Slippin' through my hand, hand, hand) (Slippin' through my hand, hand, hand) (Slippin' through my hand, hand, hand) (Slippin' through my hand, hand, hand)",3
Country,"Sunset, a clear blue lake Fishing with the boys A weekend hanging out with my best friends Tall tales and ice cold beer Well, I can't blame you guys For saying this must be the living end [Chorus] Hold on, it does get better than this If you were me You couldn't disagree 'Cause I've held her oh so tight She's kept me up all night I've tasted her kisses sweet as wine Sure, this is a real good time But pardon me boys It does get better than this Cool night, by the fire At least a million stars A cooler full of fat catfish to fry Back slapping, telling jokes And howling at the moon I hear you saying, ""Ain't this The life?"" but [Chorus] She",0
Hip-Hop,one And when you feel as dogmatic as the next It's time to read into what it is that you do The air in here is dead industrial and so austere The air round here smells of religion and Sunday dinner We are this world we watch the sands drain from our hands This is our world we are the waters that we learned to work You can hear a melancholy desert song And smell George Orwell as the funeral goes on There's plenty with a license to prostitute And room to develop the ultimate building The air in here is dead industrial and so austere The air round here smells of religion and Vauxies beer We are this world the sand drains from our very hands We're,1
R&B,thinkin' bout me baby love?) All day thinkin' about you (Do you be thinkin' bout me baby love?) You are the good in me the bad in me (the love of my life) You are the up in me the down in me the wrong and the right And you're there for me to care for me (at the end of each day) And I just can't wait to get home Your sexuality it captures me (and blows me away) That I must think of thee at least (a thousand times in a day) I so desire you and want for you (like all the time) That I just can't wait to get home [Chorus],3
Hip-Hop,"the dance floor tryin to crawl out Shots big enough to tear the fuckin wall out You see the Range, you see the rims all blinged up I had bad luck, then my luck changed up These other rap niggaz just catching feelings You ain't hear what I charge for 16, I'm makin a killin (Chorus) Haha, yeah Yeah that's it nigga, what the fuck you thought I ain't giving niggaz more than 16 for a motherfuckin freestyle The fuck you want for free man That's why they give you 100 motherfuckin bars for nothing man Ya'll niggaz be wanting a lot for free man Fuck them other niggaz, other niggaz can't rap You know what I mean Haha, the fuck man Fuck that shit man, I ain't",1
R&B,"With a-hundred dollar bills in his fingers tight He had flowers for wheels and a-flashin' headlights He been wishin' for wings, no way he was walkin' Talkin' 'bout Willie the wimp and his Cadillac coffin Yeah, Willie the wimp and his Cadillac coffin",3
Electronic,can I go on If you don't come along to set me off I don't know nothing How can I move on when I am half as strong Without your strength I don't know nothing Though you're not in my world to ease my worries And you can't be the one I turn to you're gonna watch over me I feel you Cause your memory lives on inside of me You must be out there Though you're not in my world to ease my worries You must be out there And you can't be the one I turn to You must be out there you're gonna watch over me I feel you You must be out there Cause your memory lives on inside of me You must be,2
R&B,my day In your special way Then I knew That baby it's you Baby it's you You know that it's you I'm thinking of Baby it's you (Chorus x 2),3
Hip-Hop,"you got a blade I'm taking no shit, Reel Life product is legit Your fiendin' for my tape, like a junkie wants a hit Death is at your doorstep waiting on the one The devil is in the shell, and he comin' out a gun Going off on niggaz, like I just based the pipe Take a n",1
Hip-Hop,"no cop shit, in the trench, got dope in the closet in the skillets Crips and Bloods show me love in my neighborhood Before you cross me, better be cautious in my neighborhood [Hook: Birdman] Yeah, we move them bricks in my neighborhood Double strap with the macks in my neighborhood We get the money, flip them hundreds in my neighborhood I staying tote stay down in my neighborhood Bust guns and don't trip nigga, clear a round and get flipped nigga Hustle just for them Crips nigga, we do this shit just for them flips nigga We all gravy in my neighborhood We get them hundreds, keep it running through my neighborhood",1
Country,"the darkest rainfall I have been kept dry A steady hand has guided me me To the other side When my dying day comes Bury me beside The tallest of the pine trees In the hills of Caroline Pine tree, pine tree Growin' from the soil of Gallilee Don't be scared now, don't be slow If you don't go the roots won't grow If you don't go the roots won't grow Pine tree, pine tree Growin' from the soil of Gallilee Don't be scared now, don't be slow If you don't go the roots won't grow",0
R&B,is it wrong for me to ask? or is love just option? 'cause that's what i seen two minutes' go or maybe i'm just faded and i don't know why this seem so biblical baby at least we made it and if you knew that today was my birthday and don't act all unshaded and if i had you in a worse way well then you half as sacred twice as sated uh,3
R&B,"I found it, I found love! Love will, love will, love will, Overcome Over come",3
Hip-Hop,"[Dresta] Yeah, I sit back and ask myself A question, y'know what i'm sayin Nigga who's the G Is it him, is it me [BG Knocc Out] Who's the G Is it him, him or me I can tell you blind to the facts So you can not see But you better recognise Whats infront of your eyes Putting the mash down on these bustas in 9-5 Nigga, Compton style How you like me now If you can't fade these bustas Then you better run the town You thinks, when I was raised I was never taught to fight fair Blew up and grew up to be your worst nightmare Nigga I thought you knew That I wasn't the o-n-e, been bangin And givin up the hood since",1
Country,you to know I'm somene you can go and rest your troubles Whatever you can cross or a mountain you can climb up to the sky Love me and I'll be your best friend...,0
R&B,"at the corner of my eye coming out from the teeth filled sky With eyes as red as a dogs asshole when you see it shitting I saw the children of God As the walked all slovenly by And the USB ports in their arms are bleeding And the blood collector collected blood And the cannibals all sang I think I can, I think I can, I think I can, I think I can! (Sha-la-la-la-la-la-la-la-lay)",3
R&B,"This is goin' out To the whole wide Westside Know what I'm sayin'? Yeah Break it down for me Steady Mobbin (Rock) rock on I was just a young boy livin' in the Hub City Eastside Compton, G Back in the days when Ice Cube and Eazy Had every nigga talkin' ?bout, ""Boy, you can't fuck with me"" Remember Ice-T had the power (Ooh, wee) Hearin' gunshot lickin' by the hour When Too $hort ???fought in every super sport??? And told us all how to ride for the West Coast To my peoples, if you hear me, where you at, throw your gloves in the air And wave ?em like you just don't care From L.A. to the Bay, what you say All day, every day, any damn",3
Hip-Hop,"[Intro] [Bridge In] The objects in the mirror Are closer than they appear Don't tell me I don't know how you feel I can show you what's real The objects in the mirror Are closer than they appear [Verse 1: Chris Miles] These days I'm living like I'm dreaming Its not about the way it is, its about how you perceive it Believe it (yeah) They never thought we could Even in my hometown When they hold me down It's whatever though cause we good (yeah) I think they should get with the program I don't know why they can't update Everything I ever wanted is coming and stacking it up like a fundraiser [Bridge Out] So when life be getting hectic Don't let nobody block out your",1
Hip-Hop,"Rocks bout 30 bout 30 in my rocks Got rocks bout 30 bout 30 in my watch watch 30 in my rocks bout 30 in my watch Rocks got rocks got bout 30 in my watch Bout rocks got 30 in my watch Got rocks hot 3 bout 3 in my watch watch MJG: I got 30 in my watch See my hand on the stirrin wheel Leanin in my cadillac All ya'll know the deal Yellow light red light Now I gotta stop(stop) Review mirror Damn 30 cops(cops) Don't you hate all of em Know I be ridin wit the fresh registration and id Pimp type MJG on them thugs In the front of the club And my paint don't smug 30,000 watt system in the trunk",1
Country,"Take Me From The Tip Of My Tongue Unravel Me Make Me Unravel Turn Me, Upside Down Spread Me Out Until I Come Take Me, Make Me Come Make Me, Make Me, Come Undone",0
Country,"(Dolly Parton) If I'm not your kind of woman Being just the way I am Then I know you're really not My kind of man I don't believe you have the right To ask me to be different Either take me like I am Or let me be If you really love me I mean, really loved or love me You wouldn't want to change One part of me If you can't be satisfied with me The way I am If I can't make you happy Find someone who can If I'm not your kind of woman Being just the way I am Then I know you're really Not my kind of man I couldn't make you happy If I let you change me For I know you",0
Electronic,"I only smoke weed when I need to And I need to get some rest, yo, where's the sex I confess, I burnt a hole in your mattress Yes, yes, it was me, I plead guilty And at the count of three I pull back the duvet And make my way to the refrigerator One dry potato inside, no lie Not even bread, jam When the light above my head went bam I can't get no sleep I can't sleep something's all over me Greasy, insomnia please release me And let me dream about making mad love on the heath Tearing off tights with my teeth But there's no relief I'm wide awake in my kitchen It's black and I'm lonely Oh if I could only get some",2
R&B,didn't i conquer this last year? tell me what i missed 'cause i fear that it's coming back up again must be something i ate some song some show some hate the devil wants to extend the game free throws and when it ends he wants to make the sequel 'cause if he has another chance he feels like he can take my joy my peace my faith see the devil he learns from your mistakes even if you don't that's how he keeps you in cycles cycles cycles cycles but i'm not going in cycles cycles cycles cycles this will end like i want it to i win the enemy will have to lose again see i'm a different fighter now and i have god to thank,3
Hip-Hop,"Fuck that nine to five bullshit, right? Yeah, kick that shit to the curb But you got to look out for the scandalous motherfuckers 'cause niggas is tricky than a motherfucker Yeah, but motherfuckers got to look out for us too You know what I'm saying I'm just as shisty as a nigga Shit, set me up and niggas are gonna die You get set up back, 'cause we ain't having that bullshit I got your back, you got mine, that goes without saying Twenty-seven and mo' baby, twenty-seven and mo' Let's get the fuck out of here""",1
Hip-Hop,"Baby the sexy that lives in me It's not illegal but it should be, be, be And I know that you see it, you want it, you need it And boy you better impress me, impress me Baby I'm special, not just for anybody So if you want my body It's obvious you wanna play This don't come easy baby Jump in the , ehe if you want this Jump in the , show me that you want my time Whoa, whoa, show me that you want my time Whoa, whoa, hey, show me that you want my time think about, chips all day, let's get away Y'all really know, million estate got my own villa, come take a ride, in my Bentley Vanilla I feel the connection",1
Country,"She was found beneath the gate, Forsaken at the gate. Who would have thought that so much love Could be so carelessly misplaced. Found. Beneath the gate. We gazed upon the moon, A honed and whetted moon. Wondered if you saw the same An hour from your mothers womb. Gazing at the moon. We stood beneath the gate. Three beneath the gate. The rare good will of the random world, Smiling like a sickle moon. She was found beneath the gate. Forsaken at the gate. Found beneath the gate.",0
Electronic,"""I've been to all the familiar places I've been running like a sentence Never begun I've been looking for a way to let you know I got nothing left to fill out spaces I got nothing but a septum coming undone I've been doing circles and it shows Every cloud in the sky Every place that I hide Tell me that I, I was wrong to let you go Every search that I heel Every flower that I feel Tell me that I, I was wrong to let you go Let you go, Let you go, Let you go x4"" Its the little things that make you crazy Like the thought of someone else touching your skin I can see you everywhere i go It could be the",2
Electronic,Tell the whole world about a boy like me Cause Carolina boys get rowdy loud Yes we do Don't look at me Ill turn your whole world upside down Cause Carolina boys get rowdy loud Yes we do Don't look at me Ill turn your whole world upside down Cause we get rowdy! We're know to get rowdy We get rowdy! We get rowdy loud! Ah ha girl! Whats wrong with you? You wanna talk a walk out to my truck with me? Nah your bf wont mind I'll go ask him,2
Electronic,I'll buy you a drink And mother wake me early in the morning The boys and me are drunk And looking for you We'll eat your frigging entrails And we won't give a damn Me daddy was a blue shirt And my mother a madam And my brother earned his medals At mai lei in vietnam And it's lend me ten pounds And I'll buy you a drink And mother wake me early in the morning On the first day of march it was raining It was raining worse than anything That I have ever seen Stay on the other side of the road 'cause you can never tell We've a thirst like a gang of devils We're the boys of the county hell And it's lend me,2
Hip-Hop,Yo it should be a crime The way I murder these rhymes I flip hundreds of lines Cause I'm done hit this mic over 7 times I shine I glitter In niggers pussy like cat litter Who would ever consider this pepto bismol drinking nigga Bring a ruckas and I'll start shitting on you motherfuckers Cause the raps I give They running through your ass like a laxative Huh I could get drastic Like Rupaul swing that dried dick I get aggy when I hit I get you boombastic Cause Akinyele only give you boom back shit Original incredible lyrical hook for years But y'all wasn't trying to hear Like you hear them through (?) ears I kick it loud and clear Make you whisper like those motherfucking,1
Hip-Hop,"you would whisper sweet things in my ear, saying how you long for me, sounding so sincere, then i called no reason, no right, and i said unexpected goodbye, i admit it baby, i know i was wrong, so i hold my head and cry and sing the same old song, i wish it would rain, cause i keep crying tears from my eyes (tears from my eyes) emotional rain, boy i keep crying tears from my eyes, singing ooh woo woo woo woo woo woo woo woo woo woo over you ooh baby my cyin eyes, my crying eyes, woo woo woo woo woo woo, ooh baby my cyin eyes, my crying eyes, woo woo woo woo woo woo baby my cyin eyes, said i miss you",1
Country,"The second she walked through the door, I caught a buzz One taste from your lips knocked me out just like a drug The rest of the night's kind of blurry Now the sun's peeking through the shades I can't help but laugh 'cause I kind of like feeling this way I woke up, up still drunk, drunk On your love, love, on your love, love, love Now I know whyy I'm feeling so high, high 'Cause I'm still drunk, drunk on your love, on your love, oh yeah It's not in the whiskey, tequila or the wine It's all about the touch and the fire in your eyes It gets me fumbling always stumbling through a haze I got plenty to do just laying here with you",0
Country,digging for gold Do you care enough to give me your heart and soul Or are you just digging for gold,0
Country,never be the sun... You will be the light you will be the light,0
Hip-Hop,"me and tuck livin great, violatin",1
Hip-Hop,"ain't never let me go You can't let me go, you can't let me go You can't let me go, you can't let me go You can't let me go, you can't let me go You can't let me go, you can't let me go You can't let me go, you can't let me go You can't let me go, you can't let me go You can't let me go, you can't let me go You can't let me go, you can't let me go I just get my last caught date Now I heard they looking for me where I go And my mama house just got raided I can't even show my face at my home Got a brand new kick every day But now I'm",1
R&B,no say It's in front of your face if youre to see the truth (it's in front of your eyes) But you must open your eyes Then the ideal they pass as freedom in this country is a fake When there are secrets that we don't know When we are left with no right or no voice to choose Then we're not living in a free & democratic state (it's in front of your eyes) But you must open your eyes It's in front of your face if youre to see the truth,3
R&B,"neck and she's here at last I need to make a move, I'm taking my chance All night long, I thought of what to say I really think she's need someone like me To take her out for a quick two-step Something that she ain't seen yet I really wanna be her man Someone who understands, someone who understands I-I-I'm letting loose, I can't wait to see you Shake, shake, shake, shake Shake, shake, shake, shake Woo, woo, woo, woo Woo, woo, woo, woo Wait, wait, wait, wait Wait, wait, we've got nothing to lose Shake, shake, shake, shake Shake, shake, shake, shake Woo, woo, woo, woo Woo, woo, woo, woo Wait, wait, wait, wait Wait, wait, we've got nothing to lose Listen up, it's my profession, life",3
Hip-Hop,my self together now So you don't have to worry bout me running around (you don't have to worry no more babe) [Repeat Bridge And Chorus],1
Hip-Hop,"Sky diver, your pants are on fire and the rest of your clothes is blowing And for some strange reason, your nose is growing My skin is crawling, everybody's chin is falling, Jaws are dropping left and right Lost cause you came like a thief in the night With nice white teeth and a tight ass and long conversation Fascinating feeling to spend months in your company I never felt uncomfortable, even with my clothes off Chillin' so hard, my ass almost froze off Everybody shows off and wants to look presentable But the fact of the matter is that accidents are preventable From the sound of the candy wrappers Down to the handicappers Everybody's got to exercise a little caution But every so often expect things to",1
R&B,"Love, soft as an easy chair Love, fresh as the morning air One love that is shared by two I have found with you Like a rose under the April snow I was always certain love would grow Love ageless and evergreen Seldom seen by two So you and I will make each night a first Everyday a beginning Sprits rise and their dance go unrehearsed They warm and excite us Cause we have the brightest love Two lights, two lights that shine as one Morning glory and a midnight sun Time we learned to sail above Time the world changed the meaning of Oh, ooh one love Ageless and ever, Evergreen.",3
Country,"some white in your knuckles And ridin' around in American muscle Yeah, we make it, we spend it, we love it We live it we see what we want, we go get it Hey Mr. Fender, thanks for the memories You set the world on fire with six strings We got 'em plugged in, we got 'em turned up From garages to the Madison Square Keepin' our boots on American throttle Drinkin' our beer from American bottles Gimme some Stevie, some Double Trouble Rockin' the house with American muscle Keepin' our boots on American throttle Drinkin' our beer from American bottles Up for the job and down for the hustle Gettin' it down with American muscle American muscle",0
Hip-Hop,"comes to you All I wanna do is give it to you Oh, so damn sexy but you're scandalous I know I need a baby I can trust But when it comes to you All I wanna do is give it to you Oh, so damn sexy but you're scandalous I know I need a baby I can trust But when it comes to you All I wanna do is give it to you Oh, so damn sexy but you're scandalous",1
R&B,"why don't you come over here and see what you have created it'll make = you laugh so hard you'll cry and lookin' into the black you made me so = far past sick lookin' into your eyes i wish you'd die. no more dead (x2) = well i've seen the crosses burnt and holy and the people they all come = down they're screaming, ""hey man, it's a fix!"" and i looked into the = cause in which, you were striving towards; and i thought, thought of the = wasted, wasted youth... no more dead (x2) he's lying all alone. his life = is stolen, yes it's gone into the black of night can't you see it was no = fault of his own trapped into a",3
R&B,"Doo-doo-doo Doo-doo Oh, a shot rings out another Mother's child is fallen Never will her life be the same The streets are filled with anger and with heartbreak People trying to ease the pain There was a time we could walk the street with some peace of mind (Yea) Oh but this wicked shade our city People saying it's a Pity We all got a price to pay Chorus We got to leave the guns at home We can't make in this world alone (ask anybody) We got to leave the guns at home We can't make in this world alone We got to leave... The time has come to play the game of violence All around the world it's the same (same, same) Why can't we see?",3
R&B,"in their hand and cry people lift up their hands and they look up to the big sky but big sky's too big to sympathize big sky's too hard, youll find though he would like to try and he feels bad inside big sky's too big to cry one day we'll be free we won't care, just you wait and see till that day can be, dont let it get you down.",3
Country,and wash away the pain In the Arizona rain I want to feel your love like the Arizona rain Pouring down like a hurricane I want to drown my soul and wash away the pain In the Arizona rain,0
Hip-Hop,Bring it pleaseYeah bring itBring the yellowTape why? im goingTo chitchat againC.i.a is goingBring your yellowTape yeah bring itoh stop woringI realy want to goJust do itOverJust do itOver& over agian C.I.A Is going bring your yellow tape yeah bring it ^^^oh stop woring^^^ i realy want to go just do it over just do it over & over agian,1
Country,woman the other ones a man,0
Electronic,"People love to dream People love to dream People love to dream People love to dream When I close my eyes And travel to that place Over there I can fly And create an escape The sun, the moon and the stars are very near When you talk to me There's nothing I can't hear People love to dream People love to dream People love to dream People love to dream When I close my eyes And travel to that place Over there I can fly And create an escape The sun, the moon and the stars are very near When you talk to me There's nothing I can't hear People love to dream People love to dream People love to dream People love to dream When I",2
Hip-Hop,"asshole I'll fuck you in front of everybody, bitch Look at you scared, look at you scared now hoe Uh, you're scared of a real man Look at you scared, it's DJ Hi-Tek, bitch I'll fuck you till you love me, faggot I'll fuck you till you love me Fuck you till you love me I'll fuck you till you love me Fuck you till you love me I'll fuck you till you love me Fuck you till you love me You can't last two minutes in my world, bitch!",1
R&B,"football thing I live in a land of class hypocracy We're going to win the national lottery E I Adio, I don't think so Now it's time, filling it up Into the net, never give up 'Cause England's Irie England's Irie Cut the trigger, I fire like this Cut the trigger, I fire like this Hey diddle-diddle, there's a fella in the middle And I think he's pulling my string My wife's lactating and I'm spectating It's a football thing I live in a land of class hypocracy We're going to win the national lottery E I Adio, I don't think so Win that ball, head for the goal Use your stealth, don't lose control Cross, into the box, we got the strength to take the knocks Gonna",3
Hip-Hop,"in your sweet love, Just you and me girl, Cause your the only one I long to please girl, You're my everything I need in this world Gal them just dance, Gal wind up your waist, yeah Bust up the place, gal You no chase, nah Say think, gal a you have the place With your lighter follow you bout the place Step to your pretty face Make it go give you some space (x2) Chorus",1
Hip-Hop,"I want you so much Wanna hold, wanna feel your touch Come fast girl I'm in a rush Why you gotta be anonymous? I wanna know, I gotta know your name Your name, your name, why you gotta be anonymous? What's your name? (Anonymous) Where you at? (Anonymous) When I think about you I get a rush I wanna meet my Miss Anonymous Then I see you when I close my eyes We on borrowed time, I wanna delay the sunlight Everything I tried to tell you I failed to Maybe I'll tell you another time How you keeping me so preoccupied Gotta strong hold on me, pay me, no, never mind, no I thought I took one step, I took two back I'm not even close this",1
R&B,"this a lot of thought Should I trip? Should I not? Should I set this off? A whole lotta pressure is on my shoulders My soul is with all my niggaz I roll with; so know this Cut the bullshit, take it back to the music use it right, don't matter what you do with it I'm here to represent the real I still stayed G'ed up unless must I will I stayed up all night, I argue and fight by myself; this can't be right Hmm 'cause if the lights were the sound of the siren I'd make you niggaz get a deal and act wild I'm for real and I can see through these suckers that dick riding motherfuckers Yeah, that's me bustin' 'cause I'm a",3
Country,I couldn't believe her,0
R&B,"Uuuuum Thinking 'bout all the times I let you down. Now both my feet are firmly planted on the ground. Hurting you was never in my plan, I was trying to be the man. I try to reach you But you won't answer my call And I don't blame ya. I never dreamed that you you'd want nothing to do with me. [CHORUS:] I know it's true (shoulda been) Instead of runnin' around, I should've been lovin' you. -(shoulda been) Instead of breaking your heart -(shoulda been lovin' you) And baby I'm so sorry for the things I put you through -(shoulda been lovin you) Now I'm starring in the mirror at a fool Who should been lovin' you! (shoulda been) Who shoulda been lovin' you -(shoulda been)",3
Hip-Hop,"shines pretty like a double four Magnum The impact from the gat goes boom So when I'm speakin' I appreciate the room My character erupt like a nigga I'm stressed, baby and I'm down on my last trigger One in the chamber, nothin's gonna change the Infrared dot to your skull meaning danger Duck, boom-pow, it's too late you're caught What, raise up and act like you want it I didn't think so nigga, you're fuckin' with a major Even X-Men couldn't save ya Yup I'm a new bad boy New York stalker Crash MC's, they need therapy, then a walker Fast talker, do the knowledge I lost ya Justice prevailed, fucked around and who crossed ya This is not a test Hip hop is in a real",1
Hip-Hop,"up in here homie you don't want that ? ahh This the song for the real niggas Ay this the song for the real niggas Ay this the song for the real niggas Ay what it do, where you from, do your thang ahh You a lion, you a lion, ain't nobody f*ckin' witchu you a lion You a lion, you a lion, ain't nobody f*ckin' witchu you a lion Where my bad bitches, where they at Get behind that ass quarterback snap Where my bad bitches, where they at Get behind that ass quarterback snap We in the club shit's packed If it ain't Roset then we sent that shit back Roll it up, we smoke back to back Don't act up in here homie you don't",1
R&B,"Gives it strength, gives it water And before you know, another day Like a flower drinking from the falling rain The same rain that could wash it away Gives it strength, gives it water And before you know, another day",3
Hip-Hop,"[Lyckety Splyt] This guy's a choke artist, ya catch a bad one Your better off shooting yourself with Papa Doc's handgun Climbing up this mountain your weak I'll leave you lost without a paddle, floating shit's creek You ain't Detroit, I'm the D You're the new kid on the block Bout to get smacked back to the boondocks Fucking Nazi, this crowd ain't your type Take some real advice and form a group with Vanilla Ice And what I tell you, you better use it This guy's a hillbilly, this ain't Willie Nelson music Trailer trash, I'll choke you to your last breath And have you looking foolish Like Cheddar Bob when he shot himself Silly Rabbit, I know why they call you that Cause you follow Future",1
R&B,"When I tell you something why don't you believe me? If you always think I'm doing something greasy (Ohh ohh ohh ohhhh) I can feel it in my heart I still love you (Ohh ohh) But I don't know if I can take another sleepless night No I don't know if I can take another stupid fight No I don't know if I can take another sleepless night without you You don't know I'm dying Can't see my tear drops drying We should be good by now We should be good by now And baby ain't you tired? Every night and day, running around in circles baby nothing ever changed We should be good by now We should be good by now Every time I walk away, I",3
Hip-Hop,"vuelta tu cabeza Baila como diosa sobre la luna Why en una bola vuelta tu cabeza Baila como diosa sobre la luna Why en una bola vuelta tu cabeza Baila, baila, baila con cerveza Why en una bola vuelta tu cabeza Baila, baila, baila con cerveza Why en una bola vuelta tu cabeza Baila como diosa sobre la luna Why en una bola vuelta tu cabeza Baila como diosa sobre la luna Why en una bola vuelta tu cabeza I'm trying to calm my nerves Girl you're turning me on Rrra (On) I need to play Rrra (On) I'm never away Rrra I freak with you all day or night, yeah (El quinto elemento) When you're working all your curves (Rell) I wanna get to you alone (El",1
R&B,"and i speak like this coz you know that this big boy's handsome its the high yelling bad boy you say Cris gotta thing for the fast toys I ain't lyin or flyin with ease G-4 knockin Alicia Keys we both, mami this is cheese [Chorus until end] Do you hear me come on? [X3] Da da da for the big boys this is for the big boys (big boys big boys) this if for the big boys (the big sistas too, know wha i mean?this is for all of us, we in style again)",3
Hip-Hop,"It Go 1,2,3,4,5 Jus A Lyrical Excersise, It Go 1,2,3,4,5 Verse 3 If Ya Homie Dont Come Wit Half Ma Cheese Cuz Dis 3-5-7 B Da Mag I Squeeze 4 Da Chips I Got Chicks 2 Come Bag Ma Weed No Joke, I Smoke Till I Look Half Chinese Nigga And Ma Eyes Is About 2 Shut Bent Off A Dub Of Haze And A Choclate Dutch Ill Pop Ya Guts Leave Ya Bent Ova Bleedin Ima Boss, Da Dawgs, Dat I Sent Ova Squeezin I Can Get Ya House Clapped Up Get Ya Spouse Snatched Up So Pop,Fly And Get Ya Mouth Smacked Up Act Tuff In Ma Pants, Whea Im Tuckin Tha Torches Still Big, Kill Kids Like Fuckn Abortions Ock, Im On Tha Block Servin",1
Electronic,kissing for strangers all laughing and howling And jokes and tall tales that ain't funny at all Bluffers and smugglers boozers and gamblers Jump old queens and tarts at the babbled bar Oh they've been pushing you too far Come home come home Angeline Come home come home Angeline You've been places I've never been Come home come home Angeline Come home come home Angeline You've been places I've never been,2
R&B,"He works hard to give her all he thinks she wants But it tears her apart 'cause nothing's for her heart He pulls in late to wake her up with a kiss goodnight If he could only read her mind, she'd say, Buy me a rose Call me from work Open a door for me what would it hurt? Show me you love me by the look in your eyes These are the little things I need the most in my life Yeah Now the days have grown To years of feeling all alone As she sits and wonders if all she's doin' is wrong Cos lately she'd try anything just to turn his head Would it make a difference if she'd say, if she'd say Buy me",3
Hip-Hop,"kill you bitch, quit lookin' around Don't kill me, please don't kill me I said I'm not gonna fuckin' kill you Hurry the fuck up! Thank you! Windows tinted on my ride when I drive in it So when I rob a bank, run out and just dive in it So I'll be disguised in it And if anybody identifies the guy in it I'll hide for five minutes Come back, shoot the eyewitness Fire at the private eye hired to pry in my business Die, bitches, bastards, brats, pets This puppy's lucky I didn't blast his ass yet If I ever gave a fuck, I'd shave my nuts Tuck my dick in between my legs and cluck You motherfuckin' chickens ain't brave enough To say the stuff",1
R&B,"Yield not to temptation, for yielding is sin Each victory will help you or some others to win Fight manfully onward, dark passions subdue Look ever to Jesus and He'll carry you through Just ask the Savior to help you To comfort, strengthen and keep you He is willing to aid you And He will carry you through Ask the Savior to help you To comfort, strengthen and heal you Oh, He is willing to aid you Jesus will carry you through Shun evil companions, bad language disdain God's name hold in reverence, don't take it in vain Be thoughtful and honest, kindhearted and true Look ever to Jesus, He'll carry you through Oh, ask the Savior to help you To comfort, strengthen and keep you Oh, He",3
R&B,love for sure they all see me runnin and say that's love for sure,3
Hip-Hop,"you've had it up to here Cause you mad enough to scream but you're sad enough to tear My life is full of empty promises and broken dreams I'm hopin' things look up, but there ain't no job openings I feel discouraged, hungry and malnourished Livin' in this house with no furnace, unfurnished And I'm sick of workin' dead-end jobs with lame pay And I'm tired of being hired and fired the same day But fuck it, if you know the rules to the game, play Cause when we die we know we all goin' the same way Cause it's cool to be player, but it sucks to be the fan When all you need is bucks to be the man, plus a luxury sedan I'm comfortable and",1
Hip-Hop,"Aesop Rock - The Tugboat Complex Pt. 3 I could make 'em all dance, or I could sleep I could walk with a limp and make your step feel incomplete people are made of match sticks, life is but a flame note at the craftwork door the last smirk of the the Damien mainframe my box cost siphon third rail juice from lost poets inhabit ocean bottoms with a bitter rotten scapegoat pardons (note to self) don't bargain at martyr parliament rallies where participants squeeze your last giggle then whittle sacrificial finalies I can tie my new faces alone, save your knee deep offerings sorta bring puke coughing bunk persona to light (I might) build anti-malignant railroads, find you, and lay tracks adjacent just to scream ""fuck off""",1
Hip-Hop,"eatin' soup for months, broken jaw, lick your shit out of straws I guess I got that same ol' harm I ain't for play, this Game is raw Specialize in death jackets, here, try these bullets on And next time have all my cheese, 'cuz if you owe Specialize in death jackets, here try these bullets on And next time have all my cheese, 'cuz if you owe Specialize in death jackets, here, try these bullets on And next time have all my cheese, 'cuz if you owe me Guns O U T, we all gon' squeeze This is blood on my Nike's solid, murdered a nigga The stash spot smokin', I done, murdered a nigga San Quinn, got a hurt for the nigga, it get worser for",1
Hip-Hop,"Hey hey I don't, I don't wanna hurt ya I just wanna know ya Read me your script later baby I'll call ya, Body so sick gotta get next to ya I've been waitin' all night long to know you're name Everything about ya girl I want And ya gotta know that I don't wanna hurt ya I just wanna know ya Read me your script later baby I'll call ya Girl, maybe we need to spend sometime Cause you got me gone (I'm so gone) And I won't wanna be a player once you're mine Cause this is More than before This is real I'm an 18 year old grown ass man tryin' to get in you're life Let go! I don't wanna hurt ya, I just",1
